COUNTY,LN,TOT_DIST,PRED,TRUE,ERROR,INC_PCT
DeKalb County,7562413,35.411395,11.61603836,11.22524339,0.390794967,30
DeKalb County,7562971,49.10714675,11.51885721,11.60823564,-0.089378438,4
DeKalb County,7563269,53.70878074,11.71748492,11.51292546,0.204559451,17
DeKalb County,7564030,25.12822308,11.92740055,12.01370075,-0.0863002,5
DeKalb County,7564381,69.19554498,12.19607481,12.15477935,0.041295454,16
DeKalb County,7564642,41.71025352,12.30353182,12.07254125,0.230990567,17
DeKalb County,7564652,29.49178765,11.84234349,11.81303006,0.029313436,11
DeKalb County,7566449,32.74452014,11.52397846,11.69524702,-0.171268559,15
DeKalb County,7566608,61.23338889,12.09654612,12.28765263,-0.191106509,-5
DeKalb County,7566736,40.12973468,12.58062925,12.56723749,0.01339176,39
DeKalb County,7567010,138.0519508,12.33987186,12.42520818,-0.08533632,2
DeKalb County,7567025,149.8207291,12.42825623,12.42520818,0.003048057,4
DeKalb County,7567384,65.21307658,13.31523177,13.24458101,0.070650762,6
DeKalb County,7568126,46.92039768,11.65297868,11.42954386,0.223434824,15
DeKalb County,7568299,40.04731701,13.31667327,13.30468493,0.011988333,14
DeKalb County,7568900,16.04293743,12.33476972,12.39875699,-0.063987265,5
DeKalb County,7568957,47.82733739,12.13830196,12.19602231,-0.057720351,3
DeKalb County,7569091,49.327636,12.43375581,12.52088339,-0.087127572,9
DeKalb County,7569326,17.58987982,12.69080427,13.30468493,-0.613880669,-2
DeKalb County,7569530,59.68100001,13.29287781,13.31298374,-0.020105928,5
DeKalb County,7569977,26.46210864,12.57850699,12.4292162,0.149290797,9
DeKalb County,7570000,46.60506722,12.77461025,12.7512997,0.02331055,5
DeKalb County,7570075,24.63366704,13.02744133,12.95512746,0.072313876,5
DeKalb County,7570184,32.47773099,12.49026661,12.58450908,-0.094242468,5
DeKalb County,7570358,75.90397742,13.10452993,13.20854107,-0.104011142,11
DeKalb County,7570379,43.74522775,12.56083984,12.76568843,-0.20484859,-9
DeKalb County,7570642,22.96846354,12.23577434,12.05815252,0.177621822,11
DeKalb County,7570649,161.9948523,11.42179161,11.23848862,0.183302995,-7
DeKalb County,7570675,12.96620666,13.21707745,13.10011777,0.116959685,5
DeKalb County,7570711,28.53616934,12.62988798,12.77987307,-0.149985084,0
DeKalb County,7570720,40.08448962,12.01004432,12.04355372,-0.033509399,5
DeKalb County,7570870,17.79278081,12.77123014,13.08414216,-0.312912029,12
DeKalb County,7570945,27.37222022,12.77020089,12.77987307,-0.009672179,7
DeKalb County,7571182,41.90429642,12.06402289,12.05466819,0.009354702,9
DeKalb County,7571801,23.03370445,12.00637981,12.04355372,-0.037173903,38
DeKalb County,7571989,102.0458389,11.36863515,11.71993963,-0.351304485,-7
DeKalb County,7572016,79.1282154,12.92832839,12.85448393,0.07384446,9
DeKalb County,7572565,73.40408092,12.18922755,12.13350195,0.055725601,13
DeKalb County,7573388,106.6297476,12.39016589,12.47227569,-0.082109798,23
DeKalb County,7573430,27.08608058,12.55279534,12.69771545,-0.144920109,-8
DeKalb County,7573441,77.41820258,12.91135786,12.97154049,-0.060182632,-2
DeKalb County,7573474,24.92106983,12.12348294,11.7905572,0.332925743,-3
DeKalb County,7573793,21.81970342,12.16133915,12.32917484,-0.167835695,15
DeKalb County,7574099,19.6941991,11.73734729,11.60823564,0.129111642,0
DeKalb County,7574291,67.59085691,11.69295068,11.9511804,-0.258229715,6
DeKalb County,7574458,90.6649138,11.82229278,11.98292909,-0.160636312,5
DeKalb County,7574459,52.14437675,12.92789958,12.97849301,-0.050593429,-5
DeKalb County,7574746,18.28623139,12.84709327,12.77422334,0.072869936,2
DeKalb County,7574966,23.05617525,11.9317237,11.89478071,0.036942995,-4
DeKalb County,7575263,33.8048925,11.64689967,11.87059991,-0.223700235,25
DeKalb County,7575515,41.75372027,12.98051598,13.15773052,-0.177214542,12
DeKalb County,7576091,12.86616609,12.69225293,12.70684793,-0.014595001,3
DeKalb County,7576217,13.29075609,12.83991331,12.90917016,-0.06925685,19
DeKalb County,7576346,92.8806995,12.74187172,12.94800999,-0.206138272,5
DeKalb County,7576393,19.49520166,12.70792854,12.76540268,-0.057474138,9
DeKalb County,7576444,54.95220297,13.05231553,13.52782849,-0.475512956,11
DeKalb County,7576550,54.59841058,11.59040526,11.5228758,0.067529468,13
DeKalb County,7576693,43.6710438,12.15151036,12.24047407,-0.088963716,-2
DeKalb County,7576700,29.7540328,12.72273148,12.91656846,-0.193836984,11
DeKalb County,7577081,52.68292172,12.94330335,12.98310131,-0.039797961,1
DeKalb County,7577260,39.50188248,13.28634939,13.3770056,-0.090656202,-1
DeKalb County,7577444,46.35403583,12.77922499,12.86099861,-0.081773622,8
DeKalb County,7577680,184.1228172,11.73635159,11.51192496,0.224426625,-7
DeKalb County,7577753,44.05679957,13.41423146,13.45883561,-0.044604152,10
DeKalb County,7577849,129.0568216,11.55620526,11.34922937,0.206975887,-4
DeKalb County,7578028,43.08253961,11.91591476,11.9511804,-0.03526564,0
DeKalb County,7578926,35.19445514,13.29103581,13.39847881,-0.107443004,5
DeKalb County,7579657,16.52045965,12.55652423,12.70684793,-0.150323708,10
DeKalb County,7579702,75.80737826,12.47868959,12.5058068,-0.027117209,2
DeKalb County,7579723,43.0378354,13.06591532,12.91262951,0.153285809,11
DeKalb County,7580230,43.33313007,11.42756384,10.98529272,0.442271121,12
DeKalb County,7580401,169.7846616,13.00992435,12.98883198,0.021092367,15
DeKalb County,7580441,35.71324352,12.76144897,12.71559742,0.04585155,7
DeKalb County,7580876,44.32169626,11.9215189,11.91839057,0.003128325,4
DeKalb County,7581224,21.32986823,12.02373802,11.98292909,0.040808927,17
DeKalb County,7581260,47.09766038,12.25058373,12.32385568,-0.073271956,5
DeKalb County,7581362,54.11087465,12.6469315,12.74839694,-0.101465436,11
DeKalb County,7581565,34.06353641,11.55076508,11.81672692,-0.265961839,2
DeKalb County,7581634,25.75392967,11.85567476,12.03171926,-0.176044501,5
DeKalb County,7581638,52.98823485,12.94618547,13.18044359,-0.234258121,10
DeKalb County,7581683,21.10563939,12.24644124,12.19602231,0.050418934,7
DeKalb County,7581991,16.13930408,12.97738893,12.9360338,0.041355133,8
DeKalb County,7582007,36.18382307,12.17669905,12.34583459,-0.169135533,5
DeKalb County,7582126,33.1142993,11.54987842,11.69441334,-0.14453492,7
DeKalb County,7582291,23.71342563,12.17412348,12.46843691,-0.294313434,18
DeKalb County,7583089,37.47490471,12.7531517,12.95276059,-0.19960889,-2
DeKalb County,7583239,32.89035316,11.91157866,11.77528973,0.136288935,1
DeKalb County,7583396,45.98026094,12.38495534,12.52452638,-0.139571038,9
DeKalb County,7583516,42.16120948,12.33654507,12.54254488,-0.205999808,4
DeKalb County,7583606,23.36187506,12.16488287,12.27839331,-0.113510439,5
DeKalb County,7584538,85.1040819,11.51874887,11.83500896,-0.316260092,4
DeKalb County,7584752,13.77399796,12.81926947,13.07317313,-0.25390366,9
DeKalb County,7584772,49.86673761,12.07005736,12.07254125,-0.00248389,1
DeKalb County,7585411,40.34640847,12.61163995,12.54254488,0.069095067,6
DeKalb County,7585499,239.8352412,12.16165353,12.23232502,-0.07067149,2
DeKalb County,7585603,36.30364516,13.09190724,13.09190417,3.07085E-06,14
DeKalb County,7585604,66.92167223,12.53860128,12.61153775,-0.072936477,7
DeKalb County,7585771,46.02173616,13.12565482,13.59236701,-0.46671219,11
DeKalb County,7585975,103.5743922,12.20059898,12.10071213,0.099886846,10
DeKalb County,7586171,40.56658202,12.51021076,12.64432758,-0.13411682,4
DeKalb County,7586558,16.201363,12.60742801,12.72188581,-0.114457801,1
DeKalb County,7586569,61.23921759,12.96722021,12.79107767,0.176142544,5
DeKalb County,7586591,28.23310244,11.79844708,11.90429165,-0.105844574,-8
DeKalb County,7586737,52.4705942,11.6457348,11.76756768,-0.121832881,15
DeKalb County,7586777,19.58191292,12.56015165,12.63210479,-0.071953144,10
DeKalb County,7586792,20.79568368,12.82123353,12.76540268,0.055830853,12
DeKalb County,7586971,29.83771063,12.8490335,13.20854107,-0.359507575,5
DeKalb County,7587044,21.49776426,12.52739141,12.51722707,0.010164341,5
DeKalb County,7587472,18.5590918,12.71057682,12.7512997,-0.040722877,-4
DeKalb County,7587589,36.12169982,12.64489499,12.70381303,-0.058918043,12
DeKalb County,7587610,23.71197156,12.5325209,12.60484877,-0.07232787,17
DeKalb County,7587758,28.04694092,13.06798291,13.09807068,-0.030087772,4
DeKalb County,7587823,11.93063193,12.75672843,12.94203982,-0.185311395,13
DeKalb County,7587922,32.96284421,13.00925816,12.78549106,0.223767103,0
DeKalb County,7588042,26.81754979,11.6757473,11.2393961,0.436351196,11
DeKalb County,7588346,19.07346254,12.87142848,12.86099861,0.010429866,11
DeKalb County,7588595,23.59172183,12.94684939,12.69158046,0.255268933,15
DeKalb County,7588750,33.63772375,12.57930559,12.7685415,-0.189235914,12
DeKalb County,7588772,76.45304625,12.47310972,12.52088339,-0.047773667,13
DeKalb County,7589146,32.90714083,12.23362993,12.44901882,-0.215388899,18
DeKalb County,7589246,83.59303134,12.63253899,12.64754819,-0.0150092,-3
DeKalb County,7589333,38.06814494,12.14868278,12.23076526,-0.082082477,0
DeKalb County,7589341,80.84659311,12.85858402,12.76139351,0.097190506,13
DeKalb County,7589866,28.346706,11.98516506,12.04060821,-0.055443148,36
DeKalb County,7590031,12.63066352,12.75798954,12.65270529,0.105284256,15
DeKalb County,7590032,33.96592178,12.61208021,13.04061088,-0.428530668,11
DeKalb County,7590172,64.15404976,13.13377901,13.10826445,0.025514556,3
DeKalb County,7590290,26.99720953,11.6864278,11.53272809,0.153699706,-8
DeKalb County,7590481,32.30750875,12.96584369,12.94777187,0.018071827,33
